[2025-03-03 00:01:11,398] 9 root - INFO - Entered main app.py
[2025-03-03 00:01:43,941] 9 root - INFO - Entered main app.py
[2025-03-03 00:01:43,942] 26 root - INFO - Entered indentify_file_type app.py
[2025-03-03 00:01:43,943] 41 root - INFO - Entered process_uploaded_file app.py
[2025-03-03 00:01:43,943] 65 root - INFO - Entered read_file utils
[2025-03-03 00:01:43,943] 43 root - INFO - Entered read_docx utils
[2025-03-03 00:01:48,546] 9 root - INFO - Entered main app.py
[2025-03-03 00:01:48,548] 26 root - INFO - Entered indentify_file_type app.py
[2025-03-03 00:01:48,548] 41 root - INFO - Entered process_uploaded_file app.py
[2025-03-03 00:01:48,548] 65 root - INFO - Entered read_file utils
[2025-03-03 00:01:48,549] 43 root - INFO - Entered read_docx utils
[2025-03-03 00:01:48,564] 60 root - INFO - Entered summarize_text app.py
[2025-03-03 00:01:48,564] 19 root - INFO - Entered Gemini Response method
[2025-03-03 00:01:51,574] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 1 of 3. Reason: timed out
[2025-03-03 00:01:55,579] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 2 of 3. Reason: timed out
[2025-03-03 00:02:00,650] 142 google.auth.compute_engine._metadata - WARNING - Compute Engine Metadata server unavailable on attempt 3 of 3. Reason: timed out
[2025-03-03 00:02:00,650] 338 google.auth._default - WARNING - Authentication failed using Compute Engine authentication due to unavailable metadata server.
